district,transaction type,land shifting total area,transaction year,num_building,num_land,num_garage,total floor number,building state,main building materials,construction to complete the years,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd,complete year
Wenshan District,Land+Building+Garage,26.94,109,1,2,1,11.0,Apartment_11storeyorgreater,Reinforced Concrete,85.0,129.42,2,1,1,1,Ramp Plane,0.0,0,59.12,2.06,7.11,1,18250000,141014,85.0
Wenshan District,Land+Building+Garage,5.83,109,1,1,2,10.0,Apartment_5to10storey,Reinforced Concrete,92.0,67.7,1,1,1,1,Tower,25.24,0,22.61,0.0,4.12,1,8800000,129985,92.0
Wenshan District,Land+Building+Garage,18.35,109,1,1,1,16.0,Apartment_11storeyorgreater,Reinforced Concrete,84.0,190.99,4,2,1,1,Lifting Machinery,0.0,0,165.83,5.01,11.78,1,29100000,152364,84.0
Wanhua District,Land+Building+Garage,13.66,108,1,2,2,24.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,201.26,3,2,1,0,Ramp Plane,59.82,4300000,80.47,9.28,5.49,1,25000000,146352,109.0
Wanhua District,Land+Building,8.43,108,1,2,0,24.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,88.56,2,1,1,0,No carpark,0.0,0,50.41,5.34,3.85,1,13000000,146793,109.0
Wanhua District,Land+Building+Garage,13.38,108,1,2,1,24.0,Apartment_11storeyorgreater,Reinforced Concrete,109.0,180.89,2,1,1,0,Ramp Plane,39.88,2300000,82.28,7.04,5.49,1,23200000,148216,109.0
Wanhua District,Land+Building+Garage,52.0,109,1,1,1,10.0,Apartment_5to10storey,Reinforced Concrete,104.0,238.5,3,2,1,1,Ramp Plane,43.58,2000000,115.4,4.84,10.42,1,37500000,182126,104.0
Wanhua District,Land+Building,16.75,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,64.0,42.86,1,1,1,0,No carpark,0.0,0,42.86,0.0,0.0,0,7000000,163322,64.0
Datong District,Land+Building,22.75,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,64.0,87.18,2,2,1,0,No carpark,0.0,0,79.66,0.0,7.52,0,14500000,166323,64.0
Zhongshan District,Land+Building+Garage,11.06,109,1,1,1,12.0,Apartment_11storeyorgreater,Reinforced Concrete,75.0,136.91,3,2,1,1,Lifting Machinery,0.0,0,108.49,0.0,4.9,1,22680000,165656,75.0
Neihu District,Land+Building,41.43,109,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,69.0,131.6,3,2,1,0,No carpark,0.0,0,116.5,0.0,15.1,0,15580000,118389,69.0
Zhongshan District,Land+Building,47.09,109,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,89.0,155.53,2,2,1,1,No carpark,0.0,0,77.69,0.0,8.1,1,32900000,211535,89.0
Neihu District,Land+Building,31.34,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,72.0,109.13,3,2,1,0,No carpark,0.0,0,95.08,14.05,0.0,0,14600000,133785,72.0
Neihu District,Land+Building+Garage,155.19,108,1,1,1,4.0,House,Reinforced Concrete,91.0,364.32,5,4,1,0,Ramp Plane,0.0,0,230.69,0.0,38.24,1,58000000,159201,91.0
Nangang District,Land+Building+Garage,20.85,109,1,1,1,10.0,Apartment_5to10storey,Reinforced Concrete,97.0,115.94,2,1,1,1,Ramp Plane,0.0,0,48.22,7.79,3.07,1,22000000,189753,97.0
Nangang District,Land+Building+Garage,23.07,109,1,3,1,15.0,Apartment_11storeyorgreater,Reinforced Concrete,99.0,166.06,3,2,1,1,Ramp Plane,0.0,0,75.24,0.0,8.13,1,29660000,178610,99.0
Songshan District,Land+Building,6.1,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,86.0,54.24,0,0,0,1,No carpark,0.0,0,34.97,0.65,3.64,1,11500000,212021,86.0
Beitou District,Land+Building+Garage,44.19,109,1,1,2,8.0,Apartment_5to10storey,Reinforced Concrete,106.0,279.48,3,2,1,1,Ramp Plane,68.16,5200000,125.35,0.88,11.44,1,46500000,195438,106.0
Shilin District,Land+Building,43.1,109,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,68.0,108.72,3,1,1,0,No carpark,0.0,0,99.54,9.18,0.0,0,17700000,162804,68.0
Shilin District,Land+Building,13.48,109,1,2,0,5.0,Apartment_5storey,Reinforced Concrete,74.0,43.64,3,2,1,0,No carpark,0.0,0,35.06,0.18,4.08,0,4800000,109991,74.0
Daan District,Land+Building,12.14,109,1,1,0,14.0,Apartment_11storeyorgreater,Reinforced Concrete,75.0,92.02,3,1,1,1,No carpark,0.0,0,66.2,0.7,10.29,1,21500000,233670,75.0
Daan District,Land+Building+Garage,32.9,109,1,2,2,23.0,Apartment_11storeyorgreater,Other,105.0,321.68,4,3,1,1,Ramp Plane,49.6,0,163.0,10.69,14.48,1,95110000,295667,105.0
Beitou District,Land+Building,27.43,109,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,71.0,125.49,3,2,1,0,No carpark,0.0,0,100.76,0.0,15.84,1,16800000,133875,71.0
Beitou District,Land+Building+Garage,41.08,109,1,1,1,8.0,Apartment_5to10storey,Reinforced Concrete,106.0,250.93,3,3,1,1,Ramp Plane,36.6,2650000,119.01,1.29,23.46,1,44900000,197126,106.0
Shilin District,Land+Building,37.25,109,1,2,0,4.0,Apartment_5storey,Reinforced Concrete,68.0,122.61,3,2,1,0,No carpark,0.0,0,115.65,0.0,6.96,0,22500000,183509,68.0
Shilin District,Land+Building,44.5,109,1,1,0,2.0,Apartment_5storey,Strengthened Brickwork,,67.73,4,1,1,0,No carpark,0.0,0,67.73,0.0,0.0,1,13800000,203750,
Shilin District,Land+Building,19.39,109,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,67.0,77.83,6,2,1,1,No carpark,0.0,0,67.94,0.0,9.89,1,9000000,115637,67.0
Wenshan District,Land+Building+Garage,42.64,109,1,2,2,19.0,Apartment_11storeyorgreater,Steel Reinforced Concrete,100.0,162.86,3,2,1,1,Lifting Machinery,28.9,0,86.52,2.84,6.02,1,26400000,162102,100.0
Wanhua District,Land+Building,11.08,109,1,1,0,10.0,Apartment_5to10storey,Reinforced Concrete,77.0,102.6,3,2,1,1,No carpark,0.0,0,73.16,0.0,16.11,1,16330000,159162,77.0
Neihu District,Land+Building,30.68,109,1,1,0,5.0,Apartment_5to10storey,Reinforced Concrete,108.0,59.52,1,1,1,1,No carpark,0.0,0,31.52,0.0,4.86,1,13290000,223286,108.0
Zhongshan District,Land+Building,18.35,109,1,1,0,9.0,Apartment_5to10storey,Reinforced Concrete,82.0,125.01,3,2,1,1,No carpark,0.0,0,78.88,3.53,9.86,1,20100000,160787,82.0
